Agency Abbreviation,Bureau Name,Program Account/Fund,Public Law,Program Name (if different),Appropriated,Announced/Allocated,Obligated,Outlayed,State,Date,Funding Source,Disaster Number
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$109,857.00","$109,857.00",$0.00,NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$94,075.36","$94,075.36","$46,167.09",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$197,932.16","$197,932.16","$151,657.42",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$383,000.00","$383,000.00",$0.00,NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$910,938.10","$910,938.10",$0.00,NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$81,297.81","$81,297.81",$0.00,NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$180,491.48","$180,491.48","$167,887.14",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$62,650.00","$62,650.00",$0.00,NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$6,415,557.77","$6,415,557.77","$6,176,753.86",No State Breakdown,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$11,800.00","$11,800.00",$0.00,PR,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$14,779.83","$14,779.83","$14,779.83",PR,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$10,930,470.38","$10,930,470.38","$9,062,898.69",FL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",DR-4337
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$972,409.52","$972,409.52","$920,874.84",GA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",DR-4337
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$12,870.00","$12,870.00","$12,870.00",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",DR-4337
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$100,000.00","$100,000.00","$73,481.00",PR,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",DR-4337
USDA,Forest Service,National Forest System,E- Emergency PL 116-20,,$0.00,"$323,907.41","$323,907.41","$323,907.41",WY,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",DR-4337
USDA,Forest Service,State and Private Forestry,C- Emergency PL 115-123,,$0.00,"$1,238,749.48","$1,238,749.48","$1,238,749.48",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Forest Service,State and Private Forestry,C- Emergency PL 115-123,,$0.00,"$304,056.56","$304,056.56","$304,056.56",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",DR-4337
USDA,Forest Service,State and Private Forestry,C- Emergency PL 115-123,,$0.00,"$305,956.69","$305,956.69","$305,956.69",GA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",DR-4337
USDA,Forest Service,State and Private Forestry,C- Emergency PL 115-123,,$0.00,"$231,222.89","$231,222.89","$231,222.89",TX,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",DR-4337
USDA,Forest Service,State and Private Forestry,C- Emergency PL 115-123,,$0.00,"$4,538,401.73","$4,538,401.73","$4,256,235.19",PR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",DR-4339
USDA,Forest Service,State and Private Forestry,C- Emergency PL 115-123,,$0.00,"$70,000.00","$70,000.00",$0.00,USVI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",DR-4339
USDA,Forest Service,State and Private Forestry,C- Emergency PL 115-123,,$0.00,"$20,000.00","$20,000.00","$20,000.00",UT,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",DR-4339
USDA,Forest Service,State and Private Forestry,E- Emergency PL 116-20,,$0.00,"$347,438.00","$347,438.00","$298,614.00",AL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",DR-4337
USDA,Forest Service,State and Private Forestry,E- Emergency PL 116-20,,$0.00,"$7,991,091.00","$7,991,091.00","$6,335,218.25",FL,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",DR-4337
USDA,Forest Service,State and Private Forestry,E- Emergency PL 116-20,,$0.00,"$2,939,867.00","$2,939,867.00","$2,939,867.00",GA,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",DR-4337
USDA,Forest Service,State and Private Forestry,E- Emergency PL 116-20,,$0.00,"$721,604.00","$721,604.00","$699,825.82",NC,30-Sep-23,"Michael, Florence, 2018 California Wildfires, and Other 2018-2019 Disasters (PL 116-20)",DR-4337
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,438,165.92","$1,438,165.92","$1,438,165.92",AK,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$9,981.08","$9,981.08","$9,981.08",AK,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$233,580.93","$233,580.93","$233,580.93",AK,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$9,989.19","$9,989.19","$9,989.19",AK,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$27,421.69","$27,421.69","$27,421.69",AL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$189,866.53","$189,866.53","$189,866.53",AL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,176,739.19","$1,176,739.19","$1,176,739.19",AR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$111,614.81","$111,614.81","$111,614.81",AR,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$101,314.78","$101,314.78","$101,314.78",AZ,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$91,308.26","$91,308.26","$91,308.26",AZ,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$104,183.27","$104,183.27","$104,183.27",AZ,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$470,846.68","$470,846.68","$470,846.68",AZ,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,737,537.77","$1,737,537.77","$1,737,537.77",CA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$441,200.58","$441,200.58","$441,200.58",CA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$295,624.99","$295,624.99","$295,624.99",CA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,844,510.84","$1,844,510.84","$1,844,510.84",CA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$2,286,717.21","$2,100,672.80","$2,100,672.80",CA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$279,563.36","$279,563.36","$279,563.36",CA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,859,958.18","$1,859,958.18","$1,859,958.18",CO,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,056,434.49","$1,056,434.49","$1,056,434.49",CO,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$10,105,388.32","$10,105,388.32","$10,105,388.32",CO,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,486,463.25","$1,486,463.25","$1,486,463.25",CO,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$10,303,727.22","$10,127,240.62","$8,298,755.94",CO,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$615,220.87","$615,220.87","$615,220.87",CO,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$27,093,210.06","$27,092,415.32","$19,666,299.04",CO,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$161,280.00","$158,854.53","$10,858.13",CT,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$2,235.14","$2,235.14","$2,235.14",CT,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$498,872.36","$498,872.36","$498,872.36",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$66,485,963.80","$66,485,963.80","$66,485,963.80",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$12,646,511.15","$12,646,511.15","$12,646,511.15",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$2,562,333.81","$2,562,333.81","$2,333,321.07",FL,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$25,809.01","$25,809.01","$25,809.01",GA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$56,275.15","$56,275.15","$56,275.15",HI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$258,476.26","$246,085.87","$246,085.87",HI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$2,293,012.34","$2,293,012.34","$2,293,012.34",HI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$266,662.82","$266,662.82","$266,662.82",HI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$7,249,432.97","$7,249,432.97","$2,251,256.38",IA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$892,869.17","$892,869.17","$892,869.17",IN,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,862,658.48","$1,862,658.48","$1,862,658.48",IN,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$178,210.13","$178,210.13","$178,210.13",IN,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$592,829.15","$592,829.15","$592,829.15",IN,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$779,836.25","$779,836.25","$779,836.25",KS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$13,523,888.13","$13,134,555.29","$1,470,522.09",KY,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,081.01","$1,081.01","$1,081.01",KY,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,794,911.90","$1,794,661.19","$1,757,161.19",KY,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$268,388.04","$268,388.04","$268,388.04",KY,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$215,729.50","$94,516.99","$77,495.25",LA,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$4,358,678.17","$4,358,678.17","$4,358,678.17",MD,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$866,331.36","$866,331.36","$866,331.36",MI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,400.30","$1,400.30","$1,400.30",MI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$6,174,049.37","$5,396,053.74","$5,254,055.27",MI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$58,711.40","$58,711.40","$58,711.40",MI,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$10,810,244.06","$10,810,244.06","$10,789,476.68",MO,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$18,841,030.27","$18,841,030.27","$18,831,707.40",MO,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$2,709,239.79","$2,709,239.79","$2,709,239.79",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$3,017,646.90","$3,017,646.90","$3,017,646.90",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$479,273.18","$479,273.18","$479,273.18",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$485,963.19","$485,963.19","$485,963.19",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$3,525,568.74","$3,525,568.74","$3,525,568.74",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$653,805.19","$653,805.19","$653,805.19",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$3,853,201.15","$3,853,201.15","$3,853,201.15",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$258,187.52","$258,187.52","$258,187.52",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$537,371.40","$483,095.91","$483,095.91",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$454,325.26","$454,325.26","$454,325.26",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$3,669,344.44","$3,632,703.46","$3,632,703.46",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$532,255.97","$410,740.56","$410,740.56",MS,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,117,350.00","$1,090,544.90","$3,363.35",MT,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$110,851.40","$110,851.40","$110,851.40",NC,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$25,544.88","$25,544.88","$25,544.88",NC,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$205,126.94","$205,126.94","$205,126.94",NC,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$84,525.74","$84,525.74","$84,525.74",ND,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$6,650,274.31","$6,650,274.31","$6,650,274.31",NE,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$407,183.96","$407,183.96","$407,183.96",NH,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$2,000,000.00","$1,541,240.66","$1,330,076.03",NM,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$791,820.55","$791,820.55","$791,820.55",NM,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$1,601,886.64","$1,601,886.64","$1,601,886.64",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$275,000.00","$273,432.82","$273,432.82",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$3,147,671.91","$2,102,841.11","$1,868,895.27",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
USDA,Natural Resources Conservation Service,Watershed and Flood Prevention Operations,C- Emergency PL 115-123,,$0.00,"$4,829,309.95","$2,168,304.74","$2,141,974.27",No State Breakdown,30-Sep-23,"Harvey, Irma, Maria, 2017 CA Wildfires, and Other 2017 Disasters (PL 115-123)",
